net,length_um
net1,40.84
net4,34
net5,32.24
net2,27.9
net3,20.7
net8,18.82
_2_,18.32
net7,14
_0_,9.52
a[3],8.69
out[3],8.01
a[0],6.99
net6,6.4
a[1],6.31
a[2],5.97
out[0],5.97
out[1],5.29
out[2],5.29
_1_,0.92
